[2025-05-14 17:03:12] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-14 18:01:07] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-05-14 18:01:13] [INFO] Occupancy fetched: room=fg#07, count=0
[2025-05-14 19:07:18] [INFO] Occupancy fetched: room=fg#07, count=1
[2025-05-14 19:07:31] [INFO] Occupancy fetched: room=fg#07, count=1
[2025-05-14 21:41:32] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-14 21:41:37] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-16 00:17:37] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-16 00:26:56] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-16 19:18:12] [INFO] Occupancy fetched: room=fg#10, count=0
[2025-05-16 19:18:25] [INFO] Occupancy fetched: room=fg#09, count=0
[2025-05-16 19:36:16] [INFO] Occupancy fetched: room=fg#11, count=0
[2025-05-16 19:36:26] [INFO] Occupancy fetched: room=fg#11, count=0
[2025-05-16 19:36:36] [INFO] Occupancy fetched: room=fg#11, count=0
[2025-05-16 19:37:22] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-20 16:44:26] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-20 16:44:38] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-20 16:46:06] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-20 16:46:14] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-20 17:17:36] [INFO] Occupancy fetched: room=fg#01, count=2
[2025-05-20 17:18:18] [INFO] Occupancy fetched: room=fg#13, count=1
[2025-05-27 07:15:29] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-05-30 13:10:23] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-05-30 13:11:33] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-05-30 13:12:03] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-05-30 13:15:36] [INFO] Occupancy fetched: room=fg#12, count=2
[2025-05-30 13:16:20] [INFO] Occupancy fetched: room=fg#12, count=2
[2025-05-30 13:17:36] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-05-30 13:28:17] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-05-30 13:36:02] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-05-30 13:49:27] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-05-30 14:13:14] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-05-30 14:30:00] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-05-30 14:37:06] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-05-30 14:44:33] [INFO] Occupancy fetched: room=fg#12, count=2
[2025-05-30 14:44:54] [INFO] Occupancy fetched: room=fg#12, count=2
